rok,miasto,nazwa
2020,GDYNIA,Kaczkomat przy Stawie na Witominie
2020,GDYNIA,Nauka języka hiszpańskiego dla początkujących
2020,GDYNIA,Przebudowa placu zabaw przy ul. Szubińskiej wraz z dostosowaniem do potrzeb osób z niepełnosprawnościami.
2020,GDYNIA,"Warsztaty, animacje, koncerty przy letniej czytelni Biblioteki Gdyńskiej na plaży"
2020,GDYNIA,Rozbudowa skateparku pod estakadą Kwiatkowskiego
2020,GDYNIA,"Wyposażenie placu przy ZSO nr  przy ul. Hallera  w interaktywne, edukacyjne urządzenia"
2020,GDYNIA,Budowa bieżni ze skocznią do skoku w dal i stanowiskiem do pchnięcia kulą  wraz z zagospodarowaniem terenu przy Szkole Podstawowej nr 
2020,GDYNIA,Szkoła dla rodziców - cykl warsztatów poszerzających kompetencje wychowawcze
2020,GDYNIA,Ławki z bali (pni) na trasach spacerowych w lasach i trasy rowerowe dla rowerów BMX „ENDURO” obok parku rodzinnego przy ul. Spokojnej
2020,GDYNIA,Modernizacja oraz wymiana nawierzchni na placu zabaw na Skwerze Ireny Kwiatkowskiej Obłuże
2020,GDYNIA,Piknik rodzinny z OSP Wiczlino z wymianą sąsiedzką rzeczy
2020,GDYNIA,Psi wybieg na Pustkach Cisowskich
2020,GDYNIA,"Stworzenie mieszkańcom Grabówka,  tuż przy wejściu do lasu od ul. Demela,  miejsca spotkań, odpoczynku i rekreacji"
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Babie Doły rozwijające pamięć i koncentrację
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Starodworcowej
2020,GDYNIA,Ogród sensoryczno-rekreacyjny dla mieszkańców dzielnicy Pogórze przy ul. Porębskiego 
2020,GDYNIA,"Montaż tablicy informacji pasażerskiej na przystanku autobusowym ""Dąbrowa Centrum"" w kierunku centrum Gdyni"
2020,GDYNIA,Budowa nowoczesnego boiska piłkarskiego z syntetyczną trawą - na terenie po byłych ogródkach działkowych przy ul. II MPS i Wielkokackiej na Witominie
2020,GDYNIA,Oświetlenie i uspokojenie ruchu na ulicy Żaglowej na odcinku -
2020,GDYNIA,Gry i zabawy z mapą i kompasem – cykliczne zajęcia dla najmłodszych na Kamiennej Górze
2020,GDYNIA,Taniec towarzyski i zajęcia fitness na Pustkach Cisowskich-Demptowie
2020,GDYNIA,Cykliczne spotkania z grami planszowymi dla wszystkich mieszkańców Redłowa
2020,GDYNIA,"Park kieszonkowy przy ulicy Staffa (obok SP), uporządkowanie terenu pomiędzy przedszkolem  a ulicą Korzenną oraz nasadzenia róź i trzcinników w pasie rozdziału ulicy Brzechwy"
2020,GDYNIA,Ustawienie dwóch tablic opisujących historię dzielnicy Leszczynki
2020,GDYNIA,Szkolenia dla mieszkańców Dąbrowy - pierwsza pomoc oraz taniec towarzyski
2020,GDYNIA,Dwie wycieczki jednodniowe poza Trójmiasto dla seniorów
2020,GDYNIA,Organizacja sześciu wyjść do placówek kultury dla seniorów z Cisowej
2020,GDYNIA,"Linaria i linowe place zabaw dla dzieci i młodzieży w wieku - lat w  dzielnicach: Chwarznie-Wiczlinie, Cisowej, Obłużu, Oksywiu, Redłowie i Wielkim Kacku"
2020,GDYNIA,Montaż ogólnodostępnego defibrylatora przy kościele pw. św. Antoniego – ul. Ujejskiego 
2020,GDYNIA,Kurs kaligrafii i odręcznego pisania dla dzieci i młodzieży
2020,GDYNIA,Cotygodniowe zajęcia jogi dla kobiet i mam z dziećmi (od lutego do grudnia  r. z przerwą wakacyjną)
2020,GDYNIA,Język włoski i język hiszpański dla początkujących
2020,GDYNIA,Nowy plac zabaw dla dzieci i młodzieży przy ul. Kornela Makuszyńskiego
2020,GDYNIA,Strefa zabawy na terenie Szkoły Podstawowej nr  przy ul.Tatrzańskiej 
2020,GDYNIA,Remont drogi dojazdowej do budynku Żelazna  w Gdyni wraz z przeglądem kanalizacji oraz zainstalowaniem dodatkowej kratki  w jezdni na wody opadowe
2020,GDYNIA,Uzupełnienie zieleni miejskiej między ulicą Dedala  i  a koroną klifu.
2020,GDYNIA,Przeprowadzenie cyklu zajęć sportowych z siatkówki dla młodzieży i dorosłych na różnych poziomach zaawansowania
2020,GDYNIA,Park kieszonkowy na placu po byłym baraku mieszkalnym przy ulicy Dedala
2020,GDYNIA,Język włoski i język hiszpański dla początkujących
2020,GDYNIA,Oświetlenie chodnika między przedszkolem nr  a szkołą podstawową nr  i utworzenie parku edukacyjno - rekreacyjnego na terenie przyszkolnego lasku.
2020,GDYNIA,Oświetlenie ciemnego przejścia łączącego polankę na końcu ulicy Kopernika (plac do street workout i plac zabaw) z ulicą Powstania Wielkopolskiego i poprawa oświetlenia na polanie.
2020,GDYNIA,Zielona wyspa na stawie przy skwerze ks. Piotra Mazura
2020,GDYNIA,Postawienie figur – ryb blokujących parkowanie i uspakajających ruch w okolicach szkolnych dróg
2020,GDYNIA,Cykl zajęć zumba fitness dla każdego mieszkańca dzielnicy
2020,GDYNIA,Cykliczne zajęcia ruchowe - joga i fitness w Redłowie
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Chwarzno-Wiczlino rozwijające pamięć i koncentrację
2020,GDYNIA,Warsztaty projektowe dla mieszkańców oraz uporządkowanie terenów zielonych przy ulicy Olkuskiej
2020,GDYNIA,"Instalacja przestrzenna na placu Kaszubskim ""Koralowce wychodzą z morza!"""
2020,GDYNIA,"Montaż dwóch multimedialnych ławek solarnych: na terenie skweru im. Ks. Piotra Mazura i/lub przy przystanku ""Dąbrowa Centrum """
2020,GDYNIA,Język angielski dla przedszkolaków
2020,GDYNIA,"Park pomiędzy ul. Morską a blokami przy Dreszera  i . Rozbudowa placu zabaw dla dzieci i młodzieży, budowa nowych alejek , oświetlenia , uporządkowanie zieleni itp."
2020,GDYNIA,Kurs rysunku i malarstwa z elementami historii sztuki na Pustkach Cisowskich-Demptowie
2020,GDYNIA,Rozbudowa parku przy ul. Spokojnej (przy wejściu do lasu) - teren rekreacji oraz bieżnia i skocznia przy SP  – wymiana nawierzchni na poliuretanową
2020,GDYNIA,Rodzinne warsztaty budowy domków dla zwierząt
2020,GDYNIA,Joga - zajęcia ruchowe dla mieszkańców
2020,GDYNIA,Skate Park w Parku Kilońskim
2020,GDYNIA,Cykl zajęć gimnastycznych dla seniorów
2020,GDYNIA,Zajęcia kulturalno-edukacyjne w oksywskiej bibliotece
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Wielki Kack)
2020,GDYNIA,Warsztaty kreatywno-edukacyjne w bibliotece na Obłużu
2020,GDYNIA,"Nasadzenie krzewów ozdobnych i kwiatów wzdłuż ulicy Chabrowej oraz ogród deszczowy w pobliżu ulic Sępia, Pawia/Pusta"
2020,GDYNIA,Działania na rzecz zachowania zieleni wysokiej w mieście
2020,GDYNIA,Rodzinny festyn z okazji Dnia Dziecka przy Szkole Podstawowej nr 
2020,GDYNIA,"Koncert Niepodległościowy, .., Kościół pw. Św. Antoniego z Padwy Franciszkanie w Gdyni"
2020,GDYNIA,Ogród deszczowy przy ul. Św Mikołaja
2020,GDYNIA,Ustawienie lustra drogowego na pasie zieleni rozdzielającym jezdnie ul. Władysława IV
