bigram,likelihood_ratio
rozrywki Foothold,48.91844118923708
ze smogiem.,48.89455322655968
im. J.,48.88378748461241
mniej betonu,48.79071034092146
 stworzenie,48.75100176972547
 Etap,48.74196978654705
Catering w,48.731523636109785
dla ekologicznych,48.58124772408003
im. Jana,48.40108774795319
smogiem. Radzimy,48.3494088940094
Nie bój,48.31335532106379
obrębie ulic,48.30138849804001
skweru przy,47.98078569223983
nad Balatonem,47.948347662784485
nad Jeziorem,47.948347662784485
Posady drzewa,47.92908128386313
Św. Wojciecha,47.764091089804815
Boisko wielofunkcyjne,47.75024761513749
 zagospodarowanie,47.71492245300249
miejsce wypoczynku,47.700834752335425
Miejskiego Przedszkola,47.70074338854466
 sadzimy,47.478685073859516
 zł,47.478685073859516
roślin ozdobnych,47.44251536581248
miejsca postojowe.,47.26116329626076
. Rewitalizacja,47.03658610646585
hałasu etap,46.89701243099843
takich jak,46.797326085769555
Łączymy parki,46.797326085769555
Saskiej Kępie,46.76188112407885
spacery przyrodnicze,46.76188112407885
stacji metra,46.76188112407885
Ogród deszczowy,46.748052509927106
tężnia solankowa.,46.72601013654763
w dzielnicy,46.543646908664385
dokarmiania ptaków,46.44089374836197
od ul.,46.36720905979031
budek legowych,46.366916706250805
woda najlepsza,46.366916706250805
Łódzka woda,46.366916706250805
park kreatywności,46.360480230080924
kazdej dzielnicy,46.290408663272586
każdej dzielnicy,46.290408663272586
i kwiaty,46.23345603916694
kotami w,46.103259918001726
Podstawowa nr,46.046674278873176
w Dzielnicy,46.02841741826397
i i,45.857869995881
Ogródek Jordanowski,45.85382778575104
Ratujmy praskie,45.85382778575104
Starym Mokotowie,45.85382778575104
kampania dotycząca,45.85382778575104
wraz Z,45.629450811330074
Projekt obejmuje,45.58919527272823
naszej pomocy,45.519055555388505
odcinku od,45.35848947322601
dolina rzeki,45.235230427272114
rzeki Białej,45.235230427272114
drzewa i,45.21849366391458
Siodełka wody,44.91412771919893
II Sobieskiego,44.80728644956976
W KONIN,44.74029627890718
owadów zapylających,44.584513423802015
Zadanie polega,44.49487894476592
przy ulicach,44.473778907115154
chroniące przed,44.283885784482685
otwartej przestrzeni,44.283885784482685
znajdującego się,44.283885784482685
