token,occurrence,emotion
zanieczyszczenia,5,[]
zakątki,5,[]
zakresie,5,[]
wzgórze,5,[]
wzgórza,5,[]
wyspa,5,[]
wiaty,5,[]
warunków,5,[]
walki,5,[]
urzadzen,5,[]
ursynów,5,[]
ursynowie,5,[]
trasy,5,[]
trasie,5,[]
toru,5,[]
torowiska,5,[]
targówku,5,[]
sąsiedztwie,5,[]
sączaosiedle,5,[]
sztuki,5,[]
szlak,5,[]
suwałkach,5,[]
strażaków,5,[]
sterylizacje,5,[]
stawów,5,[]
stawie,5,[]
staw,5,[]
sprzętu,5,[]
sprzęt,5,[]
smieci,5,[]
skwerach,5,[]
sklepu,5,[]
skarpy,5,[]
sercu,5,['zaufanie;radość;smutek;wstręt' 'zaufanie;radość;smutek;wstręt']
sciezka,5,[]
sala,5,[]
róg,5,[]
rzece,5,['radość;smutek;' 'radość;wstręt;' 'radość;smutek;złość;']
rybaków,5,[]
rok,5,[]
reymonta,5,[]
retkinia,5,[]
retencja,5,[]
relaks,5,[]
reja,5,[]
realizacji,5,[]
raz,5,[]
przyrodzie,5,[]
przygotowanie,5,[]
przychodni,5,[]
przedszkole,5,[]
potrzeb,5,[]
posady,5,[]
polu,5,[]
podwórku,5,[]
pochłaniacz,5,[]
placów,5,[]
placach,5,[]
pamięci,5,[]
oświetleniem,5,[]
okolic,5,[]
ogrodów,5,[]
odnowienie,5,[]
oczyszczenie,5,[]
obrębie,5,[]
nietoperzy,5,[]
nalezy,5,[]
mostku,5,[]
metra,5,[]
matarnia,5,[]
maksymiliana,5,[]
lutomierski,5,[]
leczenie,5,[]
latarni,5,[]
lat,5,[]
kładki,5,[]
kładka,5,[]
kępie,5,[]
kwietników,5,[]
kwartale,5,[]
kościoła,5,[]
koniec,5,"['radość;cieszenie się na coś oczekiwanego;smutek;złość;strach;'
 'radość;cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;smutek;złość;strach;'
 'radość;cieszenie się na coś oczekiwanego;zaskoczenie czymś nieprzewidywanym;smutek;złość;'
 'radość;cieszenie się na coś oczekiwanego;smutek;złość;wstręt;']"
kompleksu,5,[]
kielce,5,[]
kastracji,5,[]
kamer,5,[]
jeziorem,5,[]
jasieniem,5,[]
inwentaryzacja,5,[]
hotele,5,[]
helenów,5,[]
estetyzacja,5,[]
enklawa,5,[]
ekrany,5,[]
ekomiasto,5,[]
dąb,5,[]
działce,5,[]
działania,5,[]
dom,5,[]
deren,5,[]
części,5,[]
czas,5,[]
chodnik,5,[]
cele,5,[]
budynków,5,[]
bezpieczenstwa,5,[]
aplikacja,5,[]
altana,5,[]
aleje,5,[]
źródełka,4,[]
ściany,4,[]
łąk,4,[]
łącznik,4,[]
ławkami,4,[]
złotnik,4,[]
zwierzęta,4,[]
zbiornikach,4,[]
zasady,4,[]
zapobieganie,4,[]
zajęcia,4,[]
zabłociu,4,[]
zabrzu,4,[]
zabezpieczenie,4,[]
włókniarzy,4,[]
władysława,4,[]
wypoczynek,4,[]
wyjazd,4,[]
wstydu,4,[]
wrocławia,4,[]
wizytówka,4,[]
wieże,4,[]
wiecha,4,[]
warsztatów,4,[]
warsztatach,4,[]
utrzymanie,4,[]
uporzadkowanie,4,[]
ulice,4,[]
trawa,4,[]
traw,4,[]
trampolin,4,[]
toaleta,4,[]
techników,4,[]
tadeusza,4,[]
tablice,4,[]
szlakiem,4,[]
szkół,4,[]
surowca,4,[]
stworzenia,4,[]
stawami,4,[]
stacja,4,[]
spotkania,4,[]
spalin,4,[]
skwerku,4,[]
skrzyzowania,4,[]
siłowni,4,[]
silowni,4,[]
sieć,4,[]
sciezki,4,[]
schronisku,4,['zaufanie;smutek;']
schroniska,4,['zaufanie;smutek;']
sadzenie,4,[]
sadzenia,4,[]
rodzin,4,[]
rezerwat,4,[]
rehabilitacja,4,[]
realizacja,4,[]
rabaty,4,[]
ptaka,4,[]
ptactwa,4,[]
przystan,4,[]
przedszkoli,4,[]
promenada,4,[]
prac,4,[]
potokiem,4,"['radość;smutek;złość;wstręt;'
 'radość;cieszenie się na coś oczekiwanego;złość;wstręt;']"
polesie,4,[]
pokoleń,4,[]
pogórze,4,[]
podwórza,4,[]
podstawie,4,[]
poblizu,4,[]
plenerze,4,[]
patrol,4,[]
parking,4,[]
pan,4,['złość;radość;strach' 'złość;radość;strach']
ośrodka,4,[]
ołbin,4,[]
osób,4,[]
oswietlenie,4,[]
oswietlenia,4,[]
osiedlach,4,[]
orliku,4,[]
oliwek,4,[]
olechówki,4,[]
olchowiec,4,[]
ogródków,4,[]
ogródki,4,[]
odpoczynek,4,[]
odpadów,4,[]
oddech,4,[]
odcinek,4,[]
odbudowa,4,[]
obrońców,4,[]
nordic,4,[]
noc,4,[]
nauka,4,[]
nasadzeń,4,[]
młynówka,4,[]
motyli,4,[]
montwiłła,4,[]
monitoringu,4,[]
mieszkania,4,[]
marzen,4,[]
magnolie,4,[]
lublinek,4,[]
likwidacja,4,['złość;radość;smutek' 'radość;smutek;strach']
lecie,4,[]
lac,4,[]
laboratorium,4,[]
kwiatach,4,[]
kupa,4,['radość;smutek;złość;' 'radość;smutek;złość;wstręt;']
kreatywności,4,[]
koszenie,4,[]
kostka,4,[]
kontaktu,4,['zaufanie;smutek;cieszenie sie na' 'zaufanie;smutek;cieszenie sie na']
klomb,4,[]
klasa,4,[]
kielcach,4,[]
katowicach,4,[]
kasztanowców,4,[]
kasztanowce,4,[]
karoliny,4,[]
karolew,4,[]
karmienia,4,[]
kanału,4,[]
kanalizacji,4,[]
jezdni,4,[]
instalacji,4,[]
iata,4,[]
hydroforni,4,[]
hałasem,4,[]
hali,4,[]
grochowie,4,[]
gier,4,[]
expo,4,[]
elementy,4,[]
dworca,4,[]
dubaniewicza,4,[]
drzewach,4,[]
drodze,4,[]
drinka,4,[]
dorosłych,4,['zaufanie;smutek' 'zaufanie;smutek']
dolinie,4,[]
dokarmiania,4,[]
dofinansowanie,4,[]
deptak,4,[]
czworonogów,4,[]
cieniu,4,['radość;smutek;strach;' 'radość;smutek;']
butach,4,['złość;' 'złość;']
budową,4,[]
brat,4,['zaufanie;radość;wstręt' 'zaufanie;złość;radość;smutek;wstręt']
bramy,4,[]
boisku,4,[]
boiskiem,4,[]
blokami,4,[]
bioróżnorodność,4,[]
bieńczycach,4,[]
bibliotece,4,[]
białołęka,4,[]
basen,4,[]
balatonem,4,[]
automat,4,['złość;radość;smutek' 'złość;radość;smutek']
aktywnosci,4,[]
akademia,4,[]
żłobku,3,[]
żywopłotami,3,[]
żeromskiego,3,[]
źródełko,3,[]
świt,3,[]
świetlicy,3,[]
środowiska,3,[]
środki,3,[]
łączka,3,[]
łódki,3,[]
łagiewnikach,3,[]
zwycięzców,3,[]
zwiększenie,3,[]
zwierzyniec,3,[]
zwierzat,3,[]
zwierzakom,3,[]
zima,3,[]
zielen,3,[]
zie,3,[]
zespole,3,[]
zboczu,3,[]
zbiorniki,3,[]
założeń,3,[]
zatoka,3,[]
zastosowanie,3,[]
zamontowanie,3,[]
zalozenie,3,[]
zakazowi,3,[]
zajecia,3,[]
zainstalowanie,3,[]
zagajnik,3,[]
zadaszeniem,3,[]
zachowania,3,[]
zabiegów,3,[]
zabiegi,3,[]
